,City,Cloudiness,Country,Date,Humidity,Longitude,Latitude,Max Temp,Wind Speed,Pressure
0,Hermanus,17,ZA,1565570371,96,19.24,-34.42,10.56,2.24,1016.0
1,Avarua,22,CK,1565570371,73,-159.78,-21.21,25.0,3.1,1018.0
2,Soc Trang,20,VN,1565570371,100,105.98,9.6,27.0,2.6,1009.0
3,Najran,40,SA,1565570325,32,44.22,17.54,29.0,4.1,1012.0
4,Kapaa,1,US,1565570371,66,-159.32,22.08,31.0,4.1,1015.0
5,Provideniya,90,RU,1565570371,93,-173.23,64.42,13.0,7.0,1012.0
6,Clyde River,90,CA,1565570185,100,-68.59,70.47,5.0,5.7,1022.0
7,New Norfolk,75,AU,1565570372,57,147.06,-42.78,11.11,9.3,1013.0
8,Balotra,22,IN,1565570372,81,72.24,25.83,27.42,5.33,1001.57
9,Saint-Philippe,1,CA,1565570372,50,-73.48,45.36,24.0,5.1,1011.0
10,Tadine,100,NC,1565570372,92,167.88,-21.55,20.42,8.29,1015.9
11,Albany,20,US,1565570193,49,-73.75,42.65,23.0,4.1,1015.0
12,Ushuaia,75,AR,1565570011,94,-68.31,-54.81,0.0,9.3,1024.0
13,San Cristobal,4,HN,1565570372,60,-86.92,14.68,24.72,3.07,1011.93
14,Bluff,0,AU,1565570141,41,149.07,-23.58,15.42,0.95,1022.21
15,Takanabe,75,JP,1565570373,83,131.49,32.13,29.0,5.1,1003.0
16,Torbay,90,CA,1565570025,82,-52.73,47.66,19.44,5.7,1006.0
17,Amudat,50,UG,1565570373,84,34.95,1.95,18.92,0.88,1013.87
18,Carnarvon,5,ZA,1565570120,91,22.13,-30.97,3.82,3.55,1022.28
19,Tiksi,66,RU,1565570181,64,128.87,71.64,13.62,1.83,1012.49
20,Butaritari,86,KI,1565570348,73,172.79,3.07,28.02,2.92,1010.73
21,Orobo,71,NG,1565570373,98,7.28,6.84,22.12,1.57,1014.74
22,Ostrovnoy,97,RU,1565570198,79,39.51,68.05,6.02,7.19,1016.72
23,Hithadhoo,100,MV,1565570065,71,73.08,-0.6,28.42,5.52,1009.6
24,Talara,0,PE,1565570215,88,-81.27,-4.58,16.92,10.09,1010.33
25,Namtsy,90,RU,1565570374,87,129.66,62.72,15.0,3.0,1006.0
26,Cape Town,75,ZA,1565570047,87,18.42,-33.93,13.33,4.1,1022.0
27,Port Charlotte,75,US,1565570374,88,-82.09,26.98,30.0,3.89,1015.0
28,Prince Rupert,90,CA,1565570182,68,-130.32,54.32,19.0,2.6,1017.0
29,Egvekinot,100,RU,1565570112,91,-179.17,66.32,8.42,2.01,1011.42
30,Mataura,72,NZ,1565570151,74,168.86,-46.19,8.89,4.47,994.0
31,Atuona,0,PF,1565570291,79,-139.03,-9.8,26.22,7.74,1011.3
32,Rikitea,99,PF,1565569910,83,-134.97,-23.12,22.52,8.2,1020.56
33,Port Hardy,75,CA,1565570179,68,-127.42,50.7,18.0,2.1,1017.0
34,Marondera,0,ZW,1565570375,58,31.55,-18.19,14.0,4.1,1025.0
35,Port Alfred,78,ZA,1565570154,75,26.89,-33.59,15.0,2.24,1016.0
36,Vaini,75,IN,1565569925,94,74.49,15.34,22.0,4.1,1010.0
37,Khatanga,0,RU,1565570128,49,102.47,71.98,20.02,2.87,1004.34
38,Arman,100,RU,1565570375,51,150.17,59.7,19.42,1.75,1005.72
39,Chake Chake,7,TZ,1565570375,78,39.77,-5.25,24.72,6.73,1016.89
40,Qaanaaq,95,GL,1565570153,67,-69.36,77.48,7.02,0.68,1024.13
41,Carupano,30,VE,1565570376,86,-63.26,10.67,24.22,1.36,1012.49
42,Hilo,1,US,1565570132,62,-155.08,19.71,29.0,5.7,1015.0
43,Leningradskiy,100,RU,1565570151,93,178.42,69.38,4.42,8.18,1013.91
44,Bredasdorp,28,ZA,1565570348,76,20.04,-34.53,11.0,3.6,1019.0
45,Dikson,94,RU,1565570150,90,80.55,73.51,4.52,4.89,1007.23
46,Airai,1,TL,1565570156,37,125.41,-8.93,27.12,0.7,1016.2
47,Arraial do Cabo,0,BR,1565570142,94,-42.02,-22.97,21.82,4.82,1022.79
48,Hasaki,75,JP,1565570121,88,140.83,35.73,30.0,2.1,1009.0
49,Bethel,40,US,1565570129,77,-161.76,60.79,18.0,6.2,1020.0
50,Pisco,0,PE,1565570145,82,-76.2,-13.71,16.11,4.6,1013.0
51,Kodiak,75,US,1565570153,78,-94.76,39.95,27.78,2.6,1014.0
52,Busselton,0,AU,1565570135,44,115.35,-33.64,13.33,9.56,1014.0
53,Gat,90,SN,1565570147,74,-16.54,14.69,27.0,2.1,1015.0
54,Batagay,0,RU,1565570376,41,134.64,67.65,22.32,1.49,1010.13
55,San Patricio,0,PY,1565570176,89,-56.83,-26.98,16.22,1.51,1013.69
56,East London,50,ZA,1565570068,82,27.91,-33.02,11.12,2.49,1018.03
57,Punta Arenas,0,CL,1565570124,68,-70.91,-53.16,-1.0,3.6,1025.0
58,Kozulka,0,UA,1565570377,93,23.8,50.04,16.0,3.0,1018.0
59,Kruisfontein,13,ZA,1565570136,72,24.73,-34.0,9.52,4.56,1018.12
60,Ilulissat,40,GL,1565570171,30,-51.1,69.22,13.0,4.1,1019.0
61,Ambon,13,FR,1565570377,93,-2.56,47.55,16.11,1.5,1017.0
62,Mazatlan,40,MX,1565570378,62,-106.42,23.22,32.22,3.1,1011.0
63,Piacabucu,23,BR,1565570170,88,-36.43,-10.41,23.22,4.77,1019.16
64,Ilo,87,PE,1565570378,82,-71.34,-17.65,14.62,4.1,1017.07
65,Gorontalo,34,ID,1565570373,73,123.06,0.54,26.82,3.48,1012.66
66,Znamenskoye,43,RU,1565570378,93,73.82,57.13,13.22,2.65,1011.39
67,Talnakh,90,RU,1565570138,100,88.39,69.49,12.0,4.0,1006.0
68,Tuktoyaktuk,90,CA,1565570140,93,-133.03,69.44,7.0,6.2,1010.0
69,Puerto Escondido,75,MX,1565570149,74,-97.07,15.86,30.0,3.6,1011.0
70,Jamestown,6,AU,1565569910,72,138.6,-33.21,7.82,0.38,1029.25
71,Oistins,40,BB,1565570379,83,-59.53,13.07,27.0,8.7,1015.0
72,Chernyshevskiy,0,RU,1565570379,63,112.47,63.01,16.92,3.91,1005.65
73,Seoul,90,KR,1565570167,94,126.98,37.57,26.0,2.1,1000.0
74,Kommunisticheskiy,100,RU,1565570379,97,64.48,61.68,15.72,3.65,1001.27
75,Gao,55,ML,1565570379,50,-0.04,16.28,30.42,7.84,1009.05
76,Bubaque,100,GW,1565570160,86,-15.83,11.28,25.82,8.78,1015.14
77,Sept-Iles,75,CA,1565570227,82,-66.38,50.2,17.22,1.0,1002.0
78,Ishikawa,75,JP,1565570380,78,140.45,37.14,31.67,4.1,1011.0
79,Mar del Plata,25,AR,1565570125,54,-67.52,-46.43,0.62,5.48,1024.82
80,Constitucion,20,MX,1565570210,23,-104.67,23.99,28.0,3.1,1021.0
81,Severo-Kurilsk,43,RU,1565569932,93,156.12,50.68,9.62,5.97,1005.79
82,Zyryanka,8,RU,1565570380,55,150.89,65.73,17.62,6.58,1010.22
83,Luwuk,100,ID,1565569952,92,122.79,-0.95,18.62,2.32,1013.9
84,Nanortalik,7,GL,1565570173,68,-45.24,60.14,8.52,4.85,1017.03
85,Cherskiy,100,RU,1565570290,63,161.3,68.75,12.92,4.07,1012.82
86,Puerto Ayora,0,EC,1565570003,73,-90.35,-0.74,22.0,7.7,1011.0
87,Saint-Augustin,75,CA,1565570230,64,-73.98,45.63,24.0,1.0,1011.0
88,La Seyne-sur-Mer,70,FR,1565570380,94,5.88,43.1,24.44,1.0,1013.0
89,Comodoro Rivadavia,75,AR,1565570183,52,-67.48,-45.87,5.0,4.6,1025.0
90,Tongchuan,0,CN,1565570220,69,108.95,34.9,25.0,2.0,1005.0
91,Katsuura,75,JP,1565570160,74,134.5,33.93,30.56,2.1,1005.0
92,Kolosovka,33,RU,1565570381,90,73.61,56.47,14.32,3.15,1010.9
93,Port Elizabeth,1,US,1565569935,56,-74.98,39.31,26.0,2.1,1016.0
94,Wrexham,0,GB,1565570253,93,-2.99,53.05,13.33,1.5,1012.0
95,Abha,40,SA,1565570381,88,42.5,18.22,20.0,3.1,1021.0
96,Matara,1,BI,1565570239,73,29.48,-3.48,10.32,0.54,1014.78
97,Lompoc,1,US,1565569880,77,-120.46,34.64,26.67,5.7,1015.0
98,Hobart,75,AU,1565569961,57,147.33,-42.88,11.11,9.3,1013.0
99,Launceston,40,AU,1565570185,86,147.14,-41.43,6.67,3.6,1016.0
100,Barrow,13,AR,1565570154,59,-60.23,-38.31,8.82,2.39,1012.25
101,Plesetsk,0,RU,1565570382,93,40.29,62.71,2.22,0.11,1019.4
102,Itaituba,13,BR,1565570166,47,-55.99,-4.26,25.92,0.8,1011.08
103,Katherine,0,AU,1565570382,18,132.26,-14.47,21.0,6.7,1021.0
104,Makakilo City,75,US,1565570382,66,-158.09,21.35,31.0,7.2,1015.0
105,Shelburne,1,CA,1565570191,49,-80.2,44.08,26.0,2.1,1015.0
106,Along,73,IN,1565570198,87,94.8,28.17,16.12,3.19,1009.06
107,Coquimbo,0,CL,1565570170,81,-71.34,-29.95,12.0,2.6,1022.0
108,Fort Nelson,40,CA,1565570150,25,-122.69,58.81,23.0,1.5,1015.0
109,Los Llanos de Aridane,0,ES,1565570135,73,-17.92,28.66,23.0,5.7,1021.0
110,Batagay-Alyta,0,RU,1565570164,43,130.41,67.8,17.22,2.68,1010.55
111,Kahului,20,US,1565570131,58,-156.47,20.89,31.0,3.6,1015.0
112,Lasa,0,CY,1565570213,68,32.53,34.92,25.0,3.6,1004.0
113,Ghanzi,0,BW,1565570383,25,21.65,-21.7,16.62,3.99,1017.91
114,Erenhot,20,CN,1565570241,64,111.97,43.65,18.12,3.26,1009.03
115,Lavrentiya,100,RU,1565570141,97,-170.99,65.58,8.82,1.98,1016.12
116,Taveta,25,TZ,1565570383,79,37.68,-3.4,17.42,0.39,1018.7
117,El Alto,0,BO,1565570383,70,-68.19,-16.5,6.0,4.6,1036.0
118,Havelock,1,US,1565570383,65,-76.9,34.88,28.0,4.1,1016.0
119,Iqaluit,20,CA,1565570384,86,-68.52,63.75,5.0,3.1,1015.0
120,Victoria,75,BN,1565570161,83,115.24,5.28,29.0,2.03,1010.0
121,Pangnirtung,0,CA,1565570126,70,-65.72,66.15,7.92,1.98,1018.5
122,Codrington,0,AU,1565570207,40,153.24,-28.95,15.56,6.2,1018.0
123,Yumen,100,CN,1565570182,25,97.04,40.29,24.52,7.11,1009.54
124,Hamilton,20,CA,1565570162,68,-79.87,43.26,26.11,3.6,1015.0
125,Grindavik,75,IS,1565570147,66,-22.43,63.84,9.0,8.2,1015.0
126,Meulaboh,100,ID,1565570202,74,96.13,4.14,27.62,3.99,1010.26
127,Nizwa,79,OM,1565570199,41,57.53,22.93,30.02,0.41,996.11
128,The Pas,1,CA,1565570384,45,-101.24,53.82,20.0,1.62,1017.0
129,Sao Filipe,0,CV,1565570197,81,-24.5,14.9,24.82,7.08,1014.51
130,Cayenne,0,GF,1565570274,88,-52.33,4.94,26.0,1.6,1014.0
131,Souillac,0,FR,1565570160,93,-0.6,45.6,14.0,0.5,1019.0
132,Imeni Zhelyabova,91,RU,1565570385,83,36.6,58.95,6.62,1.31,1017.6
133,Takoradi,32,GH,1565570121,89,-1.75,4.89,22.32,1.93,1015.8
134,Kilindoni,18,TZ,1565570149,79,39.67,-7.91,24.92,8.2,1016.69
135,La Ronge,20,CA,1565570144,48,-105.3,55.1,19.0,1.0,1018.0
136,Ribeira Grande,44,PT,1565570297,80,-28.7,38.52,21.42,2.01,1025.52
137,Bambous Virieux,40,MU,1565570152,73,57.76,-20.34,22.22,5.7,1023.0
138,Sao Sepe,0,BR,1565570385,82,-53.57,-30.16,16.0,3.1,1014.0
139,Upernavik,10,GL,1565570290,63,-56.15,72.79,7.62,3.31,1021.36
140,Alcaniz,28,ES,1565570386,60,-0.13,41.05,20.56,3.58,1017.0
141,Brae,96,GB,1565570386,81,-1.35,60.4,11.0,4.1,1007.0
142,Georgetown,20,GY,1565570006,83,-58.16,6.8,28.0,3.1,1013.0
143,Vanimo,98,PG,1565570387,75,141.3,-2.67,27.72,2.99,1012.92
144,Castro,75,CL,1565570124,100,-73.76,-42.48,5.0,2.1,1021.0
145,Sitka,49,US,1565570155,42,-99.65,37.17,34.44,8.94,957.0
146,Lorengau,77,PG,1565570142,68,147.27,-2.02,28.12,0.61,1012.12
147,Vila Velha,0,BR,1565570145,83,-38.6,-3.71,26.0,3.6,1016.0
148,Deniliquin,0,AU,1565570388,64,144.96,-35.53,13.33,4.02,1024.0
149,Mogadishu,22,SO,1565570138,75,45.34,2.04,24.22,6.57,1014.36
150,Harper,1,US,1565570143,28,-99.24,30.3,36.0,3.6,1014.0
151,Puerto Narino,0,CO,1565570222,88,-70.38,-3.77,26.0,1.0,1011.0
152,Faya,40,SA,1565570125,88,42.45,18.39,20.0,3.1,1021.0
153,Jumla,100,NP,1565570389,93,82.18,29.28,12.72,0.89,1009.34
154,Yellowknife,20,CA,1565569942,52,-114.38,62.45,19.0,3.6,1015.0
155,Kaitangata,54,NZ,1565570128,74,169.85,-46.28,9.44,4.47,990.0
156,Longyearbyen,75,NO,1565570121,70,15.63,78.22,6.0,2.6,1016.0
157,Grand-Lahou,0,CI,1565570389,92,-5.0,5.24,20.82,1.42,1015.95
158,Ancud,75,CL,1565570349,100,-73.83,-41.87,5.0,2.1,1021.0
159,Lufilufi,75,WS,1565570389,88,-171.6,-13.87,27.0,6.7,1013.0
160,Mecca,17,SA,1565570132,61,39.83,21.43,30.12,2.24,1006.02
161,Moffat,40,GB,1565570390,100,-3.44,55.33,11.0,1.0,1010.0
162,Fukue,75,JP,1565570390,58,136.69,35.03,33.33,5.7,1007.0
163,Zemio,100,CF,1565570390,97,25.13,5.02,20.42,1.14,1013.23
164,Naze,84,NG,1565570390,97,7.07,5.43,22.42,1.27,1014.86
165,Sladkovo,87,RU,1565570390,73,70.34,55.53,17.32,3.56,1007.27
166,Goulburn,0,AU,1565570391,92,149.72,-34.75,10.0,2.52,1023.0
167,Dingle,88,PH,1565570132,78,122.67,11.0,27.32,3.66,1009.21
168,Sterling,1,US,1565570391,46,-77.4,39.0,26.67,1.25,1016.0
169,Kaele,100,CM,1565570391,91,14.45,10.11,22.32,3.3,1012.23
170,Bolobo,98,CD,1565570391,58,16.23,-2.17,27.32,0.3,1011.99
171,Luganville,40,VU,1565570391,83,167.18,-15.51,28.0,4.1,1013.0
172,Luderitz,0,NA,1565570143,76,15.16,-26.65,13.0,6.2,1021.0
173,Arang,75,IN,1565570392,100,81.97,21.2,25.0,3.1,1003.0
174,Pata,40,GM,1565570392,100,-14.95,13.44,23.0,2.1,1015.0
175,Half Moon Bay,1,US,1565570216,72,-122.43,37.46,29.0,8.2,1017.0
176,Bougouni,70,ML,1565570392,92,-7.49,11.42,22.62,2.77,1014.07
177,Vanavara,100,RU,1565570217,96,102.28,60.35,11.72,6.18,999.66
178,Tual,92,ID,1565570234,80,132.75,-5.67,25.02,9.56,1015.52
179,Yulara,0,AU,1565570238,50,130.99,-25.24,13.0,5.7,1027.0
180,Amambai,0,BR,1565570392,51,-55.23,-23.11,21.22,2.27,1013.43
181,Sola,26,TZ,1565570240,52,33.8,-3.17,19.22,4.89,1013.92
182,Kuruman,0,ZA,1565570393,33,23.43,-27.46,6.67,3.86,1017.0
183,Logansport,90,US,1565570380,54,-86.36,40.75,27.0,2.1,1014.0
184,Bandarbeyla,0,SO,1565570222,67,50.81,9.49,23.92,13.29,1007.65
185,Thompson,40,CA,1565570290,45,-97.86,55.74,19.0,6.2,1015.0
186,Ucluelet,75,CA,1565570191,88,-125.55,48.94,21.67,4.1,1019.0
187,Lebu,75,ET,1565570156,93,38.73,8.96,14.0,3.1,1026.0
188,Altay,0,CN,1565570234,55,88.13,47.83,9.42,1.36,1012.1
189,Ossora,100,RU,1565570393,94,163.07,59.24,11.52,2.24,999.71
190,Nikolskoye,90,RU,1565569922,100,30.79,59.7,16.0,2.0,1013.0
191,Narsaq,0,GL,1565570139,35,-46.05,60.91,13.0,7.7,1015.0
192,Kununurra,60,AU,1565570394,15,128.74,-15.77,24.0,7.2,1020.0
193,Beringovskiy,96,RU,1565570175,86,179.32,63.05,12.52,1.59,1005.0
194,Kavaratti,80,IN,1565570200,75,72.64,10.57,28.22,8.68,1008.31
195,Praya,20,ID,1565570394,88,116.27,-8.71,24.0,1.5,1014.0
196,Namibe,35,AO,1565570147,85,12.15,-15.19,17.42,4.42,1014.68
197,Saint Anthony,1,US,1565570154,22,-111.68,43.97,24.0,10.3,1018.0
198,Guerrero Negro,14,MX,1565570160,88,-114.04,27.97,18.72,6.74,1011.81
199,Aykhal,75,RU,1565570290,59,111.51,65.95,16.0,3.0,1007.0
200,Shimanovsk,0,RU,1565570394,60,127.67,52.0,20.32,2.34,1007.71
201,Berlevag,100,NO,1565570193,93,29.09,70.86,9.22,5.54,1007.46
202,Faanui,13,PF,1565570189,79,-151.75,-16.48,26.32,5.42,1014.52
203,Maldonado,0,UY,1565570395,93,-54.96,-34.91,9.0,3.6,1015.0
204,Vao,63,EE,1565570136,97,26.19,59.1,14.12,3.87,1010.83
205,Banda Aceh,100,ID,1565569890,70,95.32,5.56,28.82,9.68,1009.02
206,Singapore,75,MY,1565570117,79,103.85,1.29,29.0,3.6,1010.0
207,Mushie,85,CD,1565570395,71,16.92,-3.02,25.22,2.17,1011.91
208,Port Macquarie,40,AU,1565570236,44,152.91,-31.43,18.33,7.7,1017.0
209,Huruta,100,ET,1565570395,89,39.35,8.15,16.02,3.87,1015.96
210,Tilichiki,100,RU,1565570159,87,166.1,60.47,13.22,1.68,998.35
211,Hualmay,28,PE,1565570396,86,-77.61,-11.1,15.32,9.41,1014.39
212,Havoysund,75,NO,1565570396,93,24.66,71.0,13.0,1.0,1007.0
213,Klaksvik,65,FO,1565570185,87,-6.59,62.23,8.0,4.15,1008.0
214,Tortoli,0,IT,1565570396,32,9.66,39.93,28.89,0.89,1010.0
215,Sarevere,14,EE,1565570396,99,25.43,58.79,16.11,0.45,1011.0
216,Chase,1,US,1565570152,59,-98.35,38.35,35.56,6.7,1011.0
217,Norman Wells,75,CA,1565570290,62,-126.83,65.28,13.0,1.0,1017.0
218,Resplendor,77,BR,1565570396,63,-41.26,-19.33,22.52,2.58,1021.92
219,Khandyga,69,RU,1565570212,42,135.58,62.65,20.72,1.16,1005.96
220,Guadalupe y Calvo,81,MX,1565570397,87,-106.96,26.09,18.12,1.49,1013.2
221,Sur,100,OM,1565570176,80,59.53,22.57,25.22,6.54,997.03
222,Acapulco,75,MX,1565570210,74,-99.88,16.86,30.0,4.1,1010.0
